Id,Nimi,l1,l2,l3,l4,l5,sus1,sus2,Tootja,hind
1,Valuveljed ,0,0,0,0,0,,90.833,KIA,109
2,BMW Raamat,0,0,0,0,0,,0,0,0
3,Handlebar riser 40mm  BMW 1200GS,0,0,0,0,0,,65.1,0,78.12
4,engine oil level check,0,0,0,0,0,,0,,0
5,f,0,0,0,0,0,,0,,0
6,235/60R17 Hankook Ventus SUV,0,0,0,0,0,,155.337803,KIA,186.41
7,H??gk??nal NGK Y-508J,0,0,0,0,0,,31.96,KIA,38.35
8,Bearing-side,0,0,0,0,0,,32.075,KIA,38.49
9,Naastrehv 215/65 R17 Cooper,0,0,0,0,0,,208.33333,0,250
10,CLAMP                         ,0,0,0,0,0,,12.70833333,KIA,15.25
11,BREATHER ASSY                 ,0,0,0,0,0,,2.291666667,KIA,2.75
12,Pidurisadula ?hutusnippel,0,0,0,0,0,,1.05,KIA,1.26
13,R?huandur,0,0,0,0,0,,157,0,188.4
14,Piece,0,0,0,0,0,,10.775,KIA,12.93
15,BEARING-OUTER                 ,0,0,0,0,0,,27.06666667,KIA,32.48
16,Rehv 215/65R16 Nankang,0,0,0,0,0,,82.286247,KIA,98.74
17,Laager,0,0,0,0,0,,44.70833333,KIA,53.65
18,Laager,0,0,0,0,0,,47,KIA,56.4
19,Kardaanipolt,0,0,0,0,0,,0.6,KIA,0.72
20,Laager,0,0,0,0,0,,46.73333333,KIA,56.08
21,Bearing,0,0,0,0,0,,36.675,KIA,44.01
22,Joint,0,0,0,0,0,,2.558333333,KIA,3.07
